AS23700;FASTNET-AS-ID Linknet-Fastnet ASN; 0.00 ; f:'0.00%'} ; 0.00
AS23666;SISTELINDO-AS-ID PT Sistelindo Mitralintas; 0.00 ; f:'0.00%'} ; 0.00
AS3583;ERX-IPTEK-ASN BPP Teknologi Networks Manager; 0.00 ; f:'0.00%'} ; 0.00
AS133838;INFOTEK-AS-ID PT Infotek Global Network; 0.00 ; f:'0.00%'} ; 0.00
AS46029;SGK-AS-ID PT. SEKAWAN GLOBAL KOMUNIKA; 0.00 ; f:'0.00%'} ; 0.00
AS23695;ELGANET-AS-ID ELGANET-ASN PT. Elga Yasa Media Internet Service; 0.00 ; f:'0.00%'} ; 0.00
AS63827;ECONDELIGHT PT Econdelight; 0.00 ; f:'0.00%'} ; 0.00
AS133842;IDNIC-BNILIFE-AS-ID PT BNI Life Insurance; 0.00 ; f:'0.00%'} ; 0.00
AS45725;KINGS-AS-ID Kings Network Indonesia ; PT; 0.00 ; f:'0.00%'}
AS59156;BALISOKET-AS-ID PT Bali Soket Informindo; 0.00 ; f:'0.00%'} ; 0.00
AS133360;IDNIC-AWINET-AS-ID PT Awinet Global Mandiri; 0.00 ; f:'0.00%'} ; 0.00
AS38776;GREENLINKS-AS-ID PT. Bandung Sinergi Akses Teknologi; 0.00 ; f:'0.00%'} ; 0.00
AS45146;RAJASA-AS-ID-AP PT. Raja Sepadan Abadi; 0.00 ; f:'0.00%'} ; 0.00
AS46059;UM-AS-ID Universitas Negeri Malang; 0.00 ; f:'0.00%'} ; 0.00
AS45292;LIPI-AS-ID Lembaga Ilmu Pengetahuan Indonesia - LIPI; 0.00 ; f:'0.00%'} ; 0.00
AS131699;IDNIC-DMA-AS-ID PT. Deltrasindo Mitra Asiatama; 0.00 ; f:'0.00%'} ; 0.00
AS18056;ABADINET-AS-AP Pt Mithaharum Abadi; 0.00 ; f:'0.00%'} ; 0.00
AS135450;; 0.00 ; f:'0.00%'} ; 0.00
AS46044;UNPAD-AS-ID Universitas Padjadjaran; 0.00 ; f:'0.00%'} ; 0.00
AS18394;UPI-AS-ID Universitas Pendidikan Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS131706;TERABIT-AS-ID PT SELARAS CITRA TERABIT; 0.00 ; f:'0.00%'} ; 0.00
AS38504;ALUCIONET-AS-ID PT ALUCIO NET; 0.00 ; f:'0.00%'} ; 0.00
AS59282;GPM-AS-ID PT Giga Patra Multimedia; 0.00 ; f:'0.00%'} ; 0.00
AS56256;PNRI-AS-ID Perpustakaan Nasional RI; 0.00 ; f:'0.00%'} ; 0.00
AS45711;IMEDIABIZ-AS-ID Imediabiz Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS133354;IDNIC-AKPA-AS-ID PT Anugrah Karunia Perkasa Abadi; 0.00 ; f:'0.00%'} ; 0.00
AS18007;INHERENT-AS-ID-AP INHERENT; 0.00 ; f:'0.00%'} ; 0.00
AS134658;; 0.00 ; f:'0.00%'} ; 0.00
AS4821;SINERGINET-AS-ID PT Sinergi Semesta Telematika; 0.00 ; f:'0.00%'} ; 0.00
